index,score_scale,score_binary,full_text
45,0.5,"[[3, -1]]","RT @LulaOficial: Ontem, na apresentação da Orquestra Sinfônica da Bahia com a banda Baiana System, o coro foi um só: #LulaLivre

Vídeo: Ren…"
46,0.5,"[[4, -2]]","Esta ação, já arquivada, foi proposta dias antes da eleição pra ajudar o papai a ganhar. O dia em que vocês explicarem ao país a evolução patrimonial da sua família de preguiçosos você posa de honesto, taoquei? By the way, cadê o Queiroz? https://t.co/H9cUmRZQP4"
47,0.5,"[[4, -2]]","@opropriolavo Esta já foi arquivada, lixo humano! Você e seu mito estão a milhas do meu calcanhar!"
48,0.5,"[[3, -1]]","RT @RevistaEpoca: Mensagens com Moro foram divulgadas há três semanas.

via @guilherme_amado 

https://t.co/llDifXK8lt"
49,0.5,"[[3, -1]]",RT @folha: New York Times inclui 'Democracia em Vertigem' em lista de melhores do ano https://t.co/AnOrO2PJPz
50,0.5,"[[3, -1]]",Um dia a verdade prevalecerá. https://t.co/h76CrijeUr
51,0.5,"[[3, -1]]","Folha não detectou nenhum indício de que material da #VazaJato possa ter sido adulterado.
O jornal buscou nomes de jornalistas e encontrou mensagens reais trocadas com integrantes da força-tarefa, obtendo assim um forte indício da integridade do material. 
https://t.co/5CpEQdCaGR"
52,0.5,"[[3, -1]]","A imprensa brasileira é realmente a favor da liberdade de imprensa? Minha coluna desta semana na Folha.
https://t.co/JMZwNrJCq7"
53,0.5,"[[3, -1]]","RT @LulaOficial: Moro mente, mas a verdade vencerá. #MoroMentiu https://t.co/g6RVHrH50C"
54,0.5,"[[3, -1]]","RT @LulaOficial: Eu tive uma boa relação com os militares. Se você procurar qualquer general que tenha orgulho desse país vai dizer. Agora,…"
55,0.5,"[[3, -1]]","RT @SenSanders: During his presidency, Lula da Silva oversaw huge reductions in poverty and remains Brazil’s most popular politician. I sta…"
56,0.5,"[[3, -1]]","RT @Kefera: Seleção Feminina JOGOU DE VERDADE. Foram pra cima mesmo o tempo inteiro, ninguém ficou se tacando no chão 😬 Isso sim é ser foda…"
57,0.5,"[[3, -1]]","Muito orgulho de termos criado a SPCine! Resultados imediatos!
'Black Mirror' filmado no Copan e na Paulista lidera onda de séries em SP https://t.co/UnnCtiTUkz"
58,0.5,"[[3, -1]]","RT @AttuchLeonardo: Estudantes saem às ruas em Vitória da Conquista, na Bahia, no #30MpelaEducacao https://t.co/U3gDv8Gm9c"
59,0.5,"[[3, -1]]","Grande Kleber! Filme brasileiro ""Bacurau"" vence prêmio do júri no Festival de Cannes https://t.co/F97qb8UF9Z via @UOLEntrete @UOL"
60,0.5,"[[3, -1]]","RT @LulaOficial: A beleza e a grandeza do Brasil!

Caravana #LulaLivre na Amazônia com Fernando Haddad.

Fotos:Ricardo Stuckert https://t.c…"
61,0.5,"[[3, -1]]",RT @LulaOficial: Festival #LulaLivre dia 2 de junho em São Paulo! https://t.co/wqgLvSR3bn
62,0.5,"[[3, -1]]","Chico Buarque, o novo ganhador do Prêmio Camões de literatura. Mais do que justo!
https://t.co/Y1DKQKmHAk"
63,0.5,"[[3, -1]]",@RodZeidan Seu artigo chamou a minha atenção. Tenho te acompanhado e resolvi te seguir para fazê-lo mais de perto. Um prazer. Abraço.
64,0.5,"[[3, -1]]","Contra a homofobia: Tenho muito orgulho das políticas públicas da nossa gestão que fizeram São Paulo ser reconhecida e integrar a Rainbow Cities Network, a única cidade da América do Sul.
https://t.co/Q0KvlSQTl1"
65,0.5,"[[3, -1]]",O cara não decora um chavão mais fácil que a fórmula da água. Putz! https://t.co/j7R1KLC4UK
66,0.5,"[[3, -1]]","RT @pedronasuecia: O Fabrício Benevenuto é professor de Computação da UFMG e renomado pesquisador de redes sociais.

Sua ferramenta acaba d…"
67,0.5,"[[4, -2]]","Bolsonaro quer um país a sua imagem: depois de cortes na educação básica e superior, a tesoura do governo faz corte generalizado em bolsas de pesquisa no país. https://t.co/Fe0IX5icwj"
68,0.5,"[[3, -1]]","‘Ilha das Flores’ é eleito o melhor curta brasileiro de todos os tempos
https://t.co/iGRUw89cMO"
69,0.5,"[[4, -2]]","Bolsonaro está literalmente matando a educação superior. Depois de cortar 30% do orçamento das universidades federais, governo pretende iniciar o desmonte da pós-graduação. https://t.co/CdxC9inZsA"
70,0.5,"[[4, -2]]","RT @andrizek: Uma dúvida, sincera, sobre essa ideia de não punir o proprietário que matar invasor em suas terras... Se um índio fizer o mes…"
