Counter	Created_time	Time_Stamp	ID	Message	Shares	Status_type	Full_Picture	Reactions_like	Reactions_haha	Reactions_wow	Reactions_sad	Reactions_angry	Reactions_love
23	2018-08-12T22:13:32+0000	1534122812.0	211857482296579_1155686701246981	"- Idos 1990, tempo que não se ""roubava"" flexões. Kkkkk"	1389	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38923252_1155687171246934_733879915111251968_n.jpg?_nc_cat=105&_nc_ohc=3zm5HYrWOWsAX9oifJ_&_nc_ht=scontent.xx&oh=b72a39b40ff8c27c8a9df511d34083b0&oe=5ED87D64	20121	5840	118	3	5	1185
24	2018-08-12T14:11:52+0000	1534093912.0	211857482296579_1155166321299019	"- No dia dos pais, o meu, que faleceu em 1995, é caluniado pelo jornal O Globo.
- Revistas Época e IstoÉ seguem o mesmo caminho.
- Assista:
. Link no youtube: https://youtu.be/kvYmtA3VOM8"	39108	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37708928_1155168721298779_525836874728603648_n.jpg?_nc_cat=111&_nc_ohc=vq4Z8Ydt2-0AX9g1dkG&_nc_ht=scontent.xx&oh=6067466cf9c1e7a802366f685da435d5&oe=5E9B7899	57599	361	327	3410	871	2270
25	2018-08-12T12:11:23+0000	1534086683.0	211857482296579_1155103537971964	"- ”Em outubro, vou de Bolsonaro. Está decidido. Tive uma reunião face to face com Bolsonaro e vi um cara com posições fantásticas”.

- Sebastião Bomfim / Centauro Material Esportivo.

. Link da matéria: https://tinyurl.com/y9zxupts"	6788	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38102957_1155104184638566_2444691592427077632_n.jpg?_nc_cat=103&_nc_ohc=8ji8_2az4dUAX_KYi8m&_nc_ht=scontent.xx&oh=8e2061209b3c632d95f9ef8006a11bc2&oe=5E94EFA3	41115	106	163	9	56	2214
26	2018-08-12T10:13:14+0000	1534079594.0	211857482296579_1154995891316062	- Obrigado molecada! Um abraço a vocês e seus pais! Kkkkkk! Fiquem com Deus!	9099	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37355034_1154996747982643_7725112759100112896_n.jpg?_nc_cat=102&_nc_ohc=EKpV8EeBfd8AX8ZntGy&_nc_ht=scontent.xx&oh=e9c003728667f24d6a5904b53186a5f2&oe=5EA0405B	26676	796	48	13	27	3034
27	2018-08-13T20:49:44+0000	1534204184.0	211857482296579_273940800055040	"- Entenda o socialismo em nossa sociedade.

. Link em nosso canal no youtube: https://youtu.be/5WkI69Is-Q0"	6272	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37740006_273942186721568_4124069207262363648_n.jpg?_nc_cat=103&_nc_ohc=20jDwWrUr-kAX9z3VkS&_nc_ht=scontent.xx&oh=793f1e5e9724bfeaf9c33eb7e7b38e79&oe=5ED54FD5	12722	27	240	11	21	516
28	2018-08-13T09:25:54+0000	1534163154.0	211857482296579_435904346905880	"- Há poucos meses almocei, a convite deles, com 15 embaixadores.
- Isso não serviu de matéria para nossa mídia. 
- A confiança tem despertado o interesse da diplomacia."	7226	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37748975_435904730239175_5351571053732691968_n.jpg?_nc_cat=111&_nc_ohc=8-r4jG_Dd4sAX--4psC&_nc_ht=scontent.xx&oh=298ae97864de846bade57a288e0a8f3d&oe=5ED59069	21393	378	76	0	14	1338
29	2018-08-15T16:46:02+0000	1534362362.0	211857482296579_2042939855750837	- A força do General Mourão na chapa do Capitão.	11721	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37806672_2042941095750713_2390412358380945408_n.jpg?_nc_cat=108&_nc_ohc=nqQdsDuDFjoAX87c0Z6&_nc_ht=scontent.xx&oh=07f002408cbcf36d78113b693aa9b0a9&oe=5E972099	26643	156	234	6	30	2080
30	2018-08-15T11:37:44+0000	1534343864.0	211857482296579_1354354694667476	"- Quem não lê jornal não está informado. 

- Quem lê está desinformado."	31576	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38733167_1354355611334051_7928089619269156864_n.jpg?_nc_cat=102&_nc_ohc=x4lL8YDTllUAX87L5O5&_nc_ht=scontent.xx&oh=78bfe48a81c9b3fa79f348d30daebe2d&oe=5EA5BC61	45105	1700	144	65	266	1621
31	2018-08-16T20:12:32+0000	1534461152.0	211857482296579_533145723788843	"- Sexta-feira, 17/agosto.
- Sambódromo, Anhembi/SP.
- Formatura/Sargentos/PM.
. Com Eduardo Bolsonaro e Gil Diniz - Carteiro Reaça"	2855	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38220491_533146247122124_3607758935068508160_n.jpg?_nc_cat=111&_nc_ohc=YETx2MpX-iYAX8MzbNR&_nc_ht=scontent.xx&oh=47b836a3621557adbeb5ab746b8a2572&oe=5ED95E12	20334	46	101	1	19	1271
32	2018-08-16T15:12:10+0000	1534443130.0	211857482296579_312102429535555	- Morador nos Estados Unidos diz porque votará em Jair Bolsonaro.	335786	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37970939_312103242868807_3550318879970426880_n.jpg?_nc_cat=109&_nc_ohc=LfYToQMOumUAX-qSP_3&_nc_ht=scontent.xx&oh=91f35675307eca1f21d43c31c320f4a4&oe=5EA7690A	439190	2368	6913	268	1130	54793
33	2018-08-16T12:26:16+0000	1534433176.0	211857482296579_612952299098890	- FHC diz que PSDB pode se aliar ao PT num segundo turno contra Jair Bolsonaro.	5244	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37751776_612955529098567_8257694806952640512_n.jpg?_nc_cat=103&_nc_ohc=RLLXFaFbXIEAX_36AmE&_nc_ht=scontent.xx&oh=ac0d57a54041de5fdf263c45e3cae5d8&oe=5EA272A2	9313	2189	98	42	1334	56
34	2018-08-17T17:24:54+0000	1534537494.0	211857482296579_300323110727357	"- Sábado, 18/agosto, Resende.
- Academia Militar das Agulhas Negras.
- Cerimônia de entrega de espadins."	9559	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38088594_300323657393969_3212816514444951552_n.jpg?_nc_cat=101&_nc_ohc=-6pz3qsAjGwAX_2vUfC&_nc_ht=scontent.xx&oh=3327c25376105241493c461f150467c6&oe=5EDB80DD	42365	123	218	6	44	2565
